"a Feature","идею"
"About Project","О проекте"
"access points","точках доступа"
"Autoconnect","Автоподключение"
"Connect","Подключайтесь"
"different Wi-Fi networks and","различных сетях Wi-Fi и"
"Download Application","Скачать приложение"
"en","ru"
"Features","О проекте"
"Feedback","Обратная связь"
"Forum","Форум"
"How It Works","Как это работает"
"If you liked this project, you can support its development.","Если вам понравился этот проект, вы можете поддержать его развитие."
"Install From Google Play and Yandex.Store","Установить с Google Play или Яндекс.Store"
"Install the Application","Установите приложение"
"Install","Установите"
"More Info","Подробнее"
"Network Map","Карта сетей"
"Open Wi-Fi near you.","Открытый Wi-Fi рядом с вами."
"Open WiFi is a project that allows you to stay in touch.","Open WiFi &ndash; это сервис, который позволяет всегда оставаться на связи."
"or","или"
"Pavel Perestoronin","Павел Пересторонин"
"Regular Updates","Регулярные обновления"
"Scan this QR-code to install the application from","Просканируйте этот QR-код для установки приложения с"
"Search for new wireless networks","Находите новые сети"
"Statistics","Статистика"
"Suggest","Предложить"
"Support the Project","Поддержать проект"
"Terms of Service","Правила"
"The app will show you known open Wi-Fi networks.","Приложение покажет известные открытые сети Wi-Fi."
"the mobile app","мобильное приложение"
"The project already knows","Проект уже знает о"
"Up","Наверх"
"VK","ВКонтакте"
"Write Us an EMail","Написать нам письмо"
"Yandex.Store","Яндекс.Store"
